Epoch: 0, Train Loss: 0.042198675985519706, Valid Loss: 0.029518791897730393
Epoch: 1, Train Loss: 0.024256864476662417, Valid Loss: 0.029518791897730393
Epoch: 2, Train Loss: 0.019599913633786714, Valid Loss: 0.029518791897730393
Epoch: 3, Train Loss: 0.016641687343900022, Valid Loss: 0.015703345648944378
Epoch: 4, Train Loss: 0.015023037533347423, Valid Loss: 0.015703345648944378
Epoch: 5, Train Loss: 0.013966259324493316, Valid Loss: 0.015703345648944378
Epoch: 6, Train Loss: 0.012950408924371003, Valid Loss: 0.01330748637855956
Epoch: 7, Train Loss: 0.01206607810006692, Valid Loss: 0.01330748637855956
Epoch: 8, Train Loss: 0.011295784956130844, Valid Loss: 0.01330748637855956
Epoch: 9, Train Loss: 0.010568377379184733, Valid Loss: 0.011336203410544178
Epoch: 10, Train Loss: 0.010056711443198415, Valid Loss: 0.011336203410544178
Epoch: 11, Train Loss: 0.009655737565257227, Valid Loss: 0.011336203410544178
Epoch: 12, Train Loss: 0.009249999105500487, Valid Loss: 0.010263910714649794
Epoch: 13, Train Loss: 0.008857265924318479, Valid Loss: 0.010263910714649794
Epoch: 14, Train Loss: 0.008512168922103368, Valid Loss: 0.010263910714649794
Epoch: 15, Train Loss: 0.008262560369733435, Valid Loss: 0.010173101457908298
Epoch: 16, Train Loss: 0.00794920355368119, Valid Loss: 0.010173101457908298
Epoch: 17, Train Loss: 0.007636263153444116, Valid Loss: 0.010173101457908298
Epoch: 18, Train Loss: 0.0074726968430555785, Valid Loss: 0.00945627795193683
Epoch: 19, Train Loss: 0.007321592291387228, Valid Loss: 0.00945627795193683
Epoch: 20, Train Loss: 0.007099126311592184, Valid Loss: 0.00945627795193683
Epoch: 21, Train Loss: 0.006962875036809307, Valid Loss: 0.009379219560121948
Epoch: 22, Train Loss: 0.006898233581047792, Valid Loss: 0.009379219560121948
Epoch: 23, Train Loss: 0.006495303116165674, Valid Loss: 0.009379219560121948
Epoch: 24, Train Loss: 0.006414939620747016, Valid Loss: 0.00909432027996941
Epoch: 25, Train Loss: 0.006190148121319138, Valid Loss: 0.00909432027996941
Epoch: 26, Train Loss: 0.0060722007057987725, Valid Loss: 0.00909432027996941
Epoch: 27, Train Loss: 0.0059540924974359, Valid Loss: 0.00902062842170849
Epoch: 28, Train Loss: 0.0059741095281564275, Valid Loss: 0.00902062842170849
Epoch: 29, Train Loss: 0.00582429153773074, Valid Loss: 0.00902062842170849
Epoch: 30, Train Loss: 0.005812934334748067, Valid Loss: 0.009091205866725155
Epoch: 31, Train Loss: 0.005604550715249318, Valid Loss: 0.009091205866725155
Epoch: 32, Train Loss: 0.00553605267778039, Valid Loss: 0.009091205866725155
Epoch: 33, Train Loss: 0.0053855132920524245, Valid Loss: 0.009067405777221376
Epoch: 34, Train Loss: 0.005363072934918679, Valid Loss: 0.009067405777221376
Epoch: 35, Train Loss: 0.005355311500338408, Valid Loss: 0.009067405777221376
Epoch: 36, Train Loss: 0.005273061141801568, Valid Loss: 0.009277331755694115
Epoch: 37, Train Loss: 0.005272701722927964, Valid Loss: 0.009277331755694115
Epoch: 38, Train Loss: 0.005077600643898432, Valid Loss: 0.009277331755694115
Epoch: 39, Train Loss: 0.0050383095844433855, Valid Loss: 0.009346949515130484
Epoch: 40, Train Loss: 0.0049526442343798965, Valid Loss: 0.009346949515130484
Epoch: 41, Train Loss: 0.00481871457125705, Valid Loss: 0.009346949515130484
Early stopping triggered!
