Epoch: 0, Train Loss: 0.08055479406463921, Valid Loss: 0.07807853340739862
Epoch: 1, Train Loss: 0.07874384416150014, Valid Loss: 0.07807853340739862
Epoch: 2, Train Loss: 0.07147865590122555, Valid Loss: 0.07807853340739862
Epoch: 3, Train Loss: 0.05570984837500397, Valid Loss: 0.04996725156979637
Epoch: 4, Train Loss: 0.04790552317600262, Valid Loss: 0.04996725156979637
Epoch: 5, Train Loss: 0.04550263786460243, Valid Loss: 0.04996725156979637
Epoch: 6, Train Loss: 0.044409519521444535, Valid Loss: 0.042465656856342134
Epoch: 7, Train Loss: 0.043541417109288987, Valid Loss: 0.042465656856342134
Epoch: 8, Train Loss: 0.04272367907682272, Valid Loss: 0.042465656856342134
Epoch: 9, Train Loss: 0.04217040391292629, Valid Loss: 0.039665047830666336
Epoch: 10, Train Loss: 0.04120501559120628, Valid Loss: 0.039665047830666336
Epoch: 11, Train Loss: 0.04058576840601397, Valid Loss: 0.039665047830666336
Epoch: 12, Train Loss: 0.04001533390180418, Valid Loss: 0.03774592855277936
Epoch: 13, Train Loss: 0.039104368319329605, Valid Loss: 0.03774592855277936
Epoch: 14, Train Loss: 0.03837814716551145, Valid Loss: 0.03774592855277936
Epoch: 15, Train Loss: 0.037549517200958664, Valid Loss: 0.03618094064129076
Epoch: 16, Train Loss: 0.03682202228853544, Valid Loss: 0.03618094064129076
Epoch: 17, Train Loss: 0.03624179591681545, Valid Loss: 0.03618094064129076
Epoch: 18, Train Loss: 0.035750872586280395, Valid Loss: 0.03387924987720791
Epoch: 19, Train Loss: 0.035191251008567674, Valid Loss: 0.03387924987720791
Epoch: 20, Train Loss: 0.03448709917624244, Valid Loss: 0.03387924987720791
Epoch: 21, Train Loss: 0.03434407822194488, Valid Loss: 0.03277697423284163
Epoch: 22, Train Loss: 0.033978448517793955, Valid Loss: 0.03277697423284163
Epoch: 23, Train Loss: 0.033711841965644154, Valid Loss: 0.03277697423284163
Epoch: 24, Train Loss: 0.03358812895385429, Valid Loss: 0.032171016903352175
Epoch: 25, Train Loss: 0.03309731947447766, Valid Loss: 0.032171016903352175
Epoch: 26, Train Loss: 0.03296042819765747, Valid Loss: 0.032171016903352175
Epoch: 27, Train Loss: 0.032961688850852794, Valid Loss: 0.03168394502232015
Epoch: 28, Train Loss: 0.03279227384310856, Valid Loss: 0.03168394502232015
Epoch: 29, Train Loss: 0.032726565923499346, Valid Loss: 0.03168394502232015
Epoch: 30, Train Loss: 0.032345058747620406, Valid Loss: 0.03141381625598563
Epoch: 31, Train Loss: 0.03224569962031349, Valid Loss: 0.03141381625598563
Epoch: 32, Train Loss: 0.0322193032174344, Valid Loss: 0.03141381625598563
Epoch: 33, Train Loss: 0.03199192264608701, Valid Loss: 0.03134848945129844
Epoch: 34, Train Loss: 0.031970718989292185, Valid Loss: 0.03134848945129844
Epoch: 35, Train Loss: 0.03171620339173761, Valid Loss: 0.03134848945129844
Epoch: 36, Train Loss: 0.031592670727180354, Valid Loss: 0.030690203157491193
Epoch: 37, Train Loss: 0.031455033582582025, Valid Loss: 0.030690203157491193
Epoch: 38, Train Loss: 0.03150104147839876, Valid Loss: 0.030690203157491193
Epoch: 39, Train Loss: 0.031190772638993145, Valid Loss: 0.030505578965580808
Epoch: 40, Train Loss: 0.031009415857137946, Valid Loss: 0.030505578965580808
Epoch: 41, Train Loss: 0.030961440536977827, Valid Loss: 0.030505578965580808
Epoch: 42, Train Loss: 0.03082900966276958, Valid Loss: 0.03421333876389083
Epoch: 43, Train Loss: 0.03069647739852978, Valid Loss: 0.03421333876389083
Epoch: 44, Train Loss: 0.03080473760619885, Valid Loss: 0.03421333876389083
Epoch: 45, Train Loss: 0.03038528191974242, Valid Loss: 0.0298050813953471
Epoch: 46, Train Loss: 0.03025422865262711, Valid Loss: 0.0298050813953471
Epoch: 47, Train Loss: 0.030131801403251713, Valid Loss: 0.0298050813953471
Epoch: 48, Train Loss: 0.030056929999320973, Valid Loss: 0.029501978536949983
Epoch: 49, Train Loss: 0.029831755818636452, Valid Loss: 0.029501978536949983
Epoch: 50, Train Loss: 0.02968840809061848, Valid Loss: 0.029501978536949983
Epoch: 51, Train Loss: 0.029604357430917848, Valid Loss: 0.02916954610548265
Epoch: 52, Train Loss: 0.0295151666960247, Valid Loss: 0.02916954610548265
Epoch: 53, Train Loss: 0.029313043797060716, Valid Loss: 0.02916954610548265
Epoch: 54, Train Loss: 0.029304059874514524, Valid Loss: 0.028993444160164705
Epoch: 55, Train Loss: 0.02912584516777322, Valid Loss: 0.028993444160164705
Epoch: 56, Train Loss: 0.02897417582807111, Valid Loss: 0.028993444160164705
Epoch: 57, Train Loss: 0.02884299565193903, Valid Loss: 0.02845728559818317
Epoch: 58, Train Loss: 0.028747496024534813, Valid Loss: 0.02845728559818317
Epoch: 59, Train Loss: 0.02869605258831265, Valid Loss: 0.02845728559818317
Epoch: 60, Train Loss: 0.028523381433075763, Valid Loss: 0.02823281449265676
Epoch: 61, Train Loss: 0.028350308409360477, Valid Loss: 0.02823281449265676
Epoch: 62, Train Loss: 0.028285266768568785, Valid Loss: 0.02823281449265676
Epoch: 63, Train Loss: 0.028179411833731495, Valid Loss: 0.027893898502846994
Epoch: 64, Train Loss: 0.028051140331822207, Valid Loss: 0.027893898502846994
Epoch: 65, Train Loss: 0.02792174208272004, Valid Loss: 0.027893898502846994
Epoch: 66, Train Loss: 0.02783777048098905, Valid Loss: 0.027658049353960424
